product_id,product_name,sku,category,unit_price,description
28,Barbeque Paneer Pizza,FOOD-PZA-08,Meals,280.00,"Thin crust pizza topped with smoked BBQ cottage cheese and bell peppers."
29,Spinach & Corn Quiche,FOOD-QCH-09,Meals,165.00,"Savory French pastry tart filled with creamed spinach and corn."
30,Classic Veg Hakka Noodles,FOOD-NDL-10,Meals,175.00,"Wok-tossed noodles with shredded cabbage, carrots, and soy sauce."
31,Chocolate Chip Cookie,BAK-CK-06,Bakery,85.00,"Chewy bakery cookie loaded with 70% dark chocolate chips."
32,Almond Danish Pastry,BAK-DNS-07,Bakery,135.00,"Laminated puff pastry filled with sweet almond frangipane paste."
33,New York Cheesecake Slice,BAK-CHK-08,Bakery,240.00,"Rich baked cream cheese slice over graham cracker crust."
34,Banana Walnut Loaf Cake,BAK-LFC-09,Bakery,115.00,"Moist tea cake loaf made with ripe bananas and crunchy walnuts."
35,Apple Cinnamon Turnover,BAK-TRN-10,Bakery,125.00,"Flaky puff pastry pocket stuffed with spiced caramelized apples."
36,FranchiseOps Ceramic Mug,MER-MUG-02,Merchandise,320.00,"Matte black ceramic coffee cup with laser etched logo (350ml)."
37,French Press Coffee Maker,MER-PRS-03,Merchandise,950.00,"Borosilicate glass French press plunger for home brewing (600ml)."
38,Organic Green Tea Box (50 Bags),MER-TEA-04,Merchandise,420.00,"Hand-picked Darjeeling green tea filter bags."
39,Stainless Steel Milk Pitcher,MER-PTC-05,Merchandise,550.00,"Professional barista milk frothing pitcher with spout."
40,FranchiseOps Tote Bag,MER-BAG-06,Merchandise,250.00,"Eco-friendly 100% natural cotton canvas shopping bag."
41,Iced Americano,BEV-AME-14,Beverages,130.00,"Double shot espresso poured over cold ice water."
42,Hazelnut Frappuccino,BEV-FRP-15,Beverages,210.00,"Blended coffee whip topped with hazelnut crunch and cream."
43,Strawberry Cream Smoothie,BEV-SMO-16,Beverages,180.00,"Farm-fresh strawberry puree whipped with Greek yogurt."
44,Hot Chocolate Marshmallow,BEV-HOC-17,Beverages,165.00,"Thick Dutch cocoa drink topped with toasted mini marshmallows."
45,Rose Cardamom Latte,BEV-LAT-18,Beverages,175.00,"Fragrant rose petal extract infused into hot cardamom milk."
46,Falafel Pita Pocket,FOOD-PTA-11,Meals,175.00,"Warm pita stuffed with chickpea falafels, hummus, and tahini."
47,Crispy Veg Nuggets (10 Pcs),FOOD-NUG-12,Snacks,145.00,"Golden crumbed vegetable patties served with tangy dip."
48,Truffle Mushroom Crostini,FOOD-CRS-13,Snacks,195.00,"Toasted ciabatta topped with sauteed wild mushrooms and truffle oil."
49,Lemon Tart,BAK-TRT-11,Bakery,130.00,"Zesty citrus curd filled in sweet butter pastry shell."
50,Pistachio Biscotti (6 Pcs),BAK-BSC-12,Bakery,160.00,"Twice-baked Italian almond and pistachio dunking biscuits."
